"","solID","mape","decomp.rssd","nrmse","nrmse_train","GADS_shapes","YT_shapes","META_shapes","RADIO_shapes","RADIO2_shapes","TV_shapes","TV2_shapes","GADS_scales","YT_scales","META_scales","RADIO_scales","RADIO2_scales","TV_scales","TV2_scales","GADS_alphas","YT_alphas","META_alphas","RADIO_alphas","RADIO2_alphas","TV_alphas","TV2_alphas","GADS_gammas","YT_gammas","META_gammas","RADIO_gammas","RADIO2_gammas","TV_gammas","TV2_gammas","cluster","n","top_sol"
"11","1_326_2",0,0.276269327121352,0.0944279987610433,0.0944279987610433,0.36433791406577,0.838758399785848,0.317264959063728,0.117314535084945,0.856221908648406,0.82722365548916,0.646377871432136,0.565835288531657,0.375126708391506,0.37063923249835,0.876339262992852,0.833035130643644,0.874800333930113,0.52899563378476,0.404856393937254,0.587748905326423,0.684015601110369,0.925372149922215,0.764745642451689,0.877976806438612,0.269679603348516,0.401858526219692,0.886185039261549,0.803214218194486,0.946130184989634,0.784085236790263,0.267386504691643,0.776011924656829,3,31,FALSE
"12","1_330_3",0,0.282779926328268,0.0937801838138172,0.0937801838138172,0.496595782912359,0.117795881249293,0.126768474498164,0.0869035275705223,0.865546885148655,0.747377871988787,0.837088821092542,0.873722632008507,0.10291335972689,0.549868424464547,1,0.864189307282747,0.643338548341858,0.380776814528468,0.362011194383272,0.562675283004335,0.483886037660068,0.965780115472605,0.810203389865628,0.68663397723155,0.232369491576116,0.285755426313947,0.627329092301461,0.644260413876307,0.751718797101753,0.637539672973884,0.263426269554591,0.567385376058098,3,31,FALSE
"13","1_334_1",0,0.308565728392616,0.0929017573264272,0.0929017573264272,0.457223901727364,0.578803588837492,0.0441937633236912,0.084131383669616,0.856167302378631,0.996646188197713,0.456989931671189,0.458227927428855,0.374459807973558,0.399611027112488,0.0764246204478743,0.928168447332856,0.572876697583347,0.750589503006625,0.391223293640162,0.389850436640171,0.985150165873626,0.931690817480583,0.688105186574821,0.614165054817166,0.776501921694156,0.26232567692132,0.439742971898364,0.877726878291305,0.612191525229995,0.0457037271468393,0.275083329256836,0.182368846945512,2,53,TRUE
"14","1_334_5",0,0.247759563102646,0.0953609849232673,0.0953609849232673,0.60817840108357,0.346090076828492,0.296346221198587,0.0274178820735718,0.853657161681624,0.905286131354868,0.626930380965725,0.79838798355217,0.169677113438474,0.636222158097364,0.334962347325142,0.726376712851035,0.802411857006595,0.586088230424386,0.324197042847682,0.337601158174057,0.09030091456479,0.965780115472605,0.767844093562996,0.914589637893808,0.632387510233032,0.543944699050968,0.830177547363963,0.294767015196007,0.968525738999896,0.911758391652584,0.268842467936622,0.642864311311401,3,31,FALSE
"15","1_338_7",0,0.247759563102646,0.0953609849232673,0.0953609849232673,0.60817840108357,0.179809324070411,0.296346221198587,0.0274178820735718,0.853657161681624,0.905286131354868,0.626930380965725,0.79838798355217,0.484649154455037,0.636222158097364,0.334962347325142,0.726376712851035,0.802411857006595,0.586088230424386,0.324197042847682,0.835787440466739,0.09030091456479,0.965780115472605,0.767844093562996,0.914589637893808,0.632387510233032,0.543944699050968,0.586181909749938,0.294767015196007,0.968525738999896,0.911758391652584,0.268842467936622,0.642864311311401,3,31,FALSE
"16","1_348_5",0,0.328695779972068,0.0921057529291302,0.0921057529291302,0.0227497658917597,0.197111306706414,0.113322613000737,0.0158589903531891,0.453901711415495,0.933347566214719,0.324650839781805,0.571197141531728,0.978894009839882,0.0263490038746037,0.525941498833,0.985623411933663,0.537413169350417,0.592055438709722,0.692793187634053,0.402287107227424,0.858497203975344,0.792803478031432,0.682915765780918,0.389942282984645,0.929751123263491,0.0605779819302423,0.73271286625131,0.685866601004528,0.682307185956988,0.846168662696457,0.313995016846173,0.0183065596030281,2,53,FALSE
"17","1_355_1",0,0.263006341773336,0.0947921689960112,0.0947921689960112,0.404013261697889,0.258196644323512,0.0399019975173888,0.0923296731193148,0.77755939962772,0.940948735463258,0.802981764450518,0.807774352612848,0.146724871167022,0.507486879306711,0.865768911645512,0.731966672047389,0.667580563035595,0.387986980788243,0.437274162892237,0.605147150973875,0.366915971428346,0.999899953686703,0.764938199113646,0.79121351091717,0.321502569509633,0.340916931646739,0.704542395247129,0.909744560225921,0.833683895545002,0.926141317875794,0.266299338755307,0.586006973537681,3,31,FALSE
"18","1_356_7",0,0.333110365626806,0.0919956578242149,0.0919956578242149,0.150782161576282,0.227539925034409,0.203178960489948,0.0876998597495843,0.507894713233078,0.836052429102929,0.46251650429231,0.134248702133392,0.929372091042218,0.016449253382158,0.219546909881706,0.557501672866532,0.500283923382038,0.693297420022036,0.578985490569033,0.908216162700812,0.799397709905315,0.683745268348538,0.599400473024014,0.569396312663604,0.598761974295788,0.139042514210834,0.54449126081111,0.82785800865648,0.410110390571582,0.0596153361614637,0.158361114035246,0.624436037841456,2,53,FALSE
"19","1_357_2",0,0.331095249235515,0.0920986870752137,0.0920986870752137,0.0227497658917597,0.197111306706414,0.113322613000737,0.0158589903531891,0.984299746038361,0.933347566214719,0.324650839781805,0.571197141531728,0.978894009839882,0.0263490038746037,0.525941498833,0.561173299967747,0.804817183318167,0.592055438709722,0.692793187634053,0.402287107227424,0.858497203975344,0.792803478031432,0.682915765780918,0.817373602815791,0.929751123263491,0.0605779819302423,0.73271286625131,0.685866601004528,0.682307185956988,0.862620275924585,0.290496187162872,0.0183065596030281,2,53,FALSE
"20","1_359_4",0,0.356150906271942,0.0916643396937588,0.0916643396937588,0.0170441032630654,0.275154579430396,0.34350532894842,0.0631633328374399,0.46600714613466,0.81110849702082,0,0.830015191130923,0.901191433166518,0.203781997172353,0.292155918793996,0.413878206677333,0.155158021985517,0.573420344584035,0.810587797723324,0.302429797723924,0.917165793697914,0.406482338477464,0.551335524565866,0.068629574736494,0.908306004029882,0.0256041544090076,0.844932918510021,0.733625208121594,0.466892092475244,0.745791357085638,0.246245959537779,0.0530382026424866,2,53,FALSE
"21","1_362_1",0,0.317160092025621,0.0926052834502007,0.0926052834502007,0.159821108936063,0.303887839101743,0.00752361643134432,0.011853770758167,0.78192946974726,0.95173112686662,0.439143793161769,0.699833591043804,0.810381980490577,0.294171831704177,0.609051629302037,0.993459846035508,0.534081652380712,0.514463233432778,0.561348131910622,0.607935796479449,0.644200627168062,0.909553485647069,0.885554513024758,0.500215770211243,0.83804056806721,0.0830422479435318,0.656525719070072,0.872929317374996,0.645626444073846,0.781400874625847,0.292376542485456,0.127702567056367,3,31,FALSE
"22","1_365_5",0,0.35971783537135,0.0917925244914849,0.0917925244914849,0.0225391486897311,0.222327636965642,0.232068395870778,0.0591929367827572,0.0682988742222654,0.68185065716251,0.468697432494759,0.932897164914888,0.742554433811392,0.323180803652225,0.177625682637911,0.292791645755952,0.0871344756185808,0.268767879751586,0.876493425482023,0.319978499138941,0.986086409368509,0.400611492882211,0.656345319996783,0.163808646310051,0.589492493055186,0.0327966522834232,0.852606988395953,0.503449378319703,0.500805184438024,0.852170801766311,0.359078715835087,0.193761551576033,2,53,FALSE
"23","1_369_5",0,0.320031384934877,0.0924501078343549,0.0924501078343549,0.186908615495126,0.385347361563657,0.0268447922433435,0.0366840930592113,0.676484865399695,0.95358655674698,0.980887198132976,0.681157129000095,0.723960869671007,0.521268258944404,0.628587293029714,0.808290397388977,0.393657503853619,0.0310303937436561,0.388731088298119,0.478728459689082,0.659241026122109,0.7380968965991,0.871676913765558,0.408146713407425,0.675641565198915,0.0637857961599759,0.617163859891708,0.946660904779268,0.552456059848994,0.726625901149749,0.278677064468209,0.0212247885892027,3,31,FALSE
"24","1_369_6",0,0.359131741264204,0.0918213515511031,0.0918213515511031,0.150782161576282,0.335844452355379,0.203178960489948,0.0876998597495843,0.507894713233078,0.836052429102929,0.46251650429231,0.134248702133392,0.994984106868633,0.507048969685601,0.219546909881706,0.557501672866532,0.500283923382038,0.693297420022036,0.578985490569033,0.764868099873677,0.638772489956238,0.683745268348538,0.599400473024014,0.569396312663604,0.598761974295788,0.139042514210834,0.409817344529454,0.846333394707522,0.410110390571582,0.0596153361614637,0.158361114035246,0.624436037841456,2,53,FALSE
"25","1_370_1",0,0.330022033968829,0.0920800695141337,0.0920800695141337,0.0227497658917597,0.37509675013479,0.170328117391135,0.0569216881634207,0.984299746038361,0.933347566214719,0.324650839781805,0.571197141531728,0.614652437872146,0.0516653376288311,0.623935701828415,0.561173299967747,0.804817183318167,0.592055438709722,0.692793187634053,0.402287107227424,0.869532371912332,0.911441582623,0.680722779079202,0.817373602815791,0.929751123263491,0.0605779819302423,0.827222276900431,0.748664316489093,0.59956497377036,0.862620275924585,0.290496187162872,0.0183065596030281,2,53,FALSE
"26","1_371_1",0,0.379938420748902,0.0913577760523614,0.0913577760523614,0.0180751662867123,0.75399616814149,0,0.127451386814317,0.120158307292599,0.768888993449124,0.111874051142412,0.238383753791209,0.792875068990118,0.0559949917271842,0.289414530988725,0.34682169074332,0.00329215727306798,0.25826245518079,0.72852314965963,0.285774130662938,0.781482931443052,0.553474939064181,0.664227136028476,0,0.508267310103964,0.0662229250626071,0.69270772435358,0.927956838946989,0.06461349586235,0.843884942226754,0.197661153448268,0.148883197549051,2,53,FALSE
"27","1_372_7",0,0.33434467648148,0.091845938452544,0.091845938452544,0.0297588703088737,0.544849467448986,0.135930312724631,0.107192958946395,0.746480635592306,0.856449797278261,0.277324836769276,0.428163131521027,0.9432592408188,0.154145329324414,0.61121731983408,0.125724397834197,0.682628094173518,0.717936283358502,0.866319723360687,0.547500076772318,0.761984572836406,0.671655254963508,0.561988350601826,0.786967968910574,0.842116843370439,0.0621510133835962,0.578122619933792,0.931501306762062,0.56984598731851,0.650030830048044,0.162187604364315,0.247614297218938,2,53,FALSE
"28","1_373_4",0,0.256941156478817,0.094369858565977,0.094369858565977,0.570576213685987,0.0572122162994034,0.0450972924526097,0.00508140017842355,0.778127575329267,0.838236009923072,0.907427796177708,0.953337474797154,0.0501008797765743,0.644603049765078,0.895021753246335,0.724624608136002,0.536925668576001,0.279990787895536,0.0875201478871554,0.535199999951397,0.391906048936525,0.83987415937094,1,0.457363688666796,0.239342718252751,0.300632517934053,0.925597895112559,0.494914488537045,0.811955902151468,0.707818603832485,0.359769666097976,0.507696874250026,3,31,FALSE
"29","1_374_3",0,0.332339749155738,0.0920764820419151,0.0920764820419151,0.0227497658917597,0.239294576303869,0.197846361000201,0.0569216881634207,0.984299746038361,0.933347566214719,0.324650839781805,0.571197141531728,0.614652437872146,0.0106221106799495,0.623935701828415,0.561173299967747,0.804817183318167,0.592055438709722,0.692793187634053,0.402287107227424,0.955570611173073,0.89748896560647,0.680722779079202,0.817373602815791,0.929751123263491,0.0605779819302423,0.827222276900431,0.602394724312066,0.59956497377036,0.862620275924585,0.290496187162872,0.0183065596030281,2,53,FALSE
