"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"21","holiday",0.71889736860728,-3017075.02865001,-0.0330144741358929,-86202.1436757146,-0.140327621297648,-3017075.02865001,-0.0330144741358929,-86202.1436757146,-0.140327621297648,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"22","Temperatura.men.",1593.57496764101,1986709.91215805,0.0217396592353928,14190.7850868432,0.023101039378721,1986709.91215805,0.0217396592353928,14190.7850868432,0.023101039378721,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"23","Euribor",20592.0076387155,8988431.92630694,0.0983563055394332,64203.0851879067,0.104515570497667,8988431.92630694,0.0983563055394332,64203.0851879067,0.104515570497667,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"24","BIGBANK_RADIO_VERSLAS_GRP",-2306.5222851163,-304460.941635352,-0.00333157703655368,0,0,-304460.941635352,-0.00333157703655368,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"25","SAVY_RADIO_VERSLAS_GRP",-62.206364522358,-38319.1205457725,-0.000419308635733408,0,0,-38319.1205457725,-0.000419308635733408,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"26","SAVY_TV_VERSLAS_GRP",-590.074047346559,-1436830.30528887,-0.0157225778282524,0,0,-1436830.30528887,-0.0157225778282524,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"27","SWEDBANK_RADIO_VERSLAS_GRP",397.561589173305,598330.191705825,0.00654725402955409,13598.4134478596,0.0221367234176763,598330.191705825,0.00654725402955409,13598.4134478596,0.0221367234176763,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"28","TV",122235.167698942,8962247.81640197,0.0980697847830648,64016.0558314426,0.104211107249002,8962247.81640197,0.0980697847830648,64016.0558314426,0.104211107249002,TRUE,0.464568907152569,0.464568907152569,2654.85514285714,371679.72,NA,NA,0.511960059745474,0.511960059745474,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,64016.0558314426,13047.5316350458,10392.6764921886,24.1128243865497,24.1128243865497,0.0414717075017478,0.0414717075017478,3,FALSE,29.2746283163621,1.10641816693838,16.6587718925172,41.8206944191996,0.813898702820968
"29","TV2",36455.5499221231,697791.470548203,0.0076356133798132,5020.08252192952,0.00817214293034722,697791.470548203,0.0076356133798132,5020.08252192952,0.00817214293034722,TRUE,0.202429791708534,0.202429791708534,1156.81821428571,161954.55,NA,NA,0.0398606878843437,0.0398606878843437,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,4984.22478963002,4543.49226748052,3386.67405319481,4.30856354791022,4.30856354791022,0.232095915234912,0.232095915234912,3,FALSE,4.25333978508865,0.132551609299395,2.75432901640834,5.76878903129365,0.64602147599725
"30","RADIO",309552.896482322,3815169.70021603,0.0417476596358239,28052.7183839414,0.0456667441654392,3815169.70021603,0.0417476596358239,28052.7183839414,0.0456667441654392,TRUE,0.0786609821095089,0.0786609821095089,449.521071428571,62932.95,NA,NA,0.217938015961476,0.217938015961476,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,27251.2121444002,812.108793693189,362.587722264618,60.6227691569524,60.6227691569524,0.0164954523507661,0.0164954523507661,3,FALSE,64.9527150188296,1.61458217134844,46.5210688667462,83.2395472164376,0.13185713152989
